epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4222,2.33418,3.51572,1.43486,0.42229,0.40652,0.35261,0.18834,1.41595,2.97962,1.07654,0.000328889,0.000328889,0.000328889
2,27.0783,1.50916,1.8787,1.06194,0.52623,0.53855,0.51949,0.19265,1.97952,1.88573,1.19325,0.00064911,0.00064911,0.00064911
3,39.5411,1.43996,1.53552,1.04115,0.83321,0.78148,0.86952,0.5514,1.162,1.13583,0.98018,0.000956132,0.000956132,0.000956132
4,51.8833,1.32694,1.286,1.01272,0.67314,0.64648,0.67999,0.27011,1.99522,1.4529,1.24978,0.0009406,0.0009406,0.0009406
5,64.1209,1.2742,1.14139,0.992,0.86369,0.85335,0.91112,0.49966,1.45873,0.96856,1.07831,0.0009208,0.0009208,0.0009208
6,76.4616,1.26491,1.06515,0.98265,0.82274,0.77135,0.80521,0.2732,2.23965,1.18704,1.37263,0.000901,0.000901,0.000901
7,88.7279,1.17637,0.97648,0.96113,0.86714,0.89638,0.94384,0.60185,1.22631,0.84519,1.00253,0.0008812,0.0008812,0.0008812
8,101.135,1.19575,0.94753,0.96786,0.9142,0.90132,0.94535,0.64186,1.09253,0.76378,0.96955,0.0008614,0.0008614,0.0008614
9,113.501,1.16215,0.89234,0.95767,0.91452,0.88382,0.9427,0.50589,1.57421,0.84751,1.0961,0.0008416,0.0008416,0.0008416
10,125.772,1.23502,0.92031,0.97301,0.84095,0.81085,0.82418,0.26722,2.25343,1.08424,1.35051,0.0008218,0.0008218,0.0008218
11,138.074,1.18008,0.87023,0.96137,0.93577,0.91335,0.96135,0.56447,1.33973,0.75234,1.01399,0.000802,0.000802,0.000802
12,150.392,1.16677,0.85814,0.95441,0.95731,0.9173,0.96733,0.69427,0.9689,0.67817,0.92829,0.0007822,0.0007822,0.0007822
13,162.77,1.13285,0.81102,0.94579,0.94324,0.92249,0.96641,0.69536,0.99734,0.66368,0.94116,0.0007624,0.0007624,0.0007624
14,175.142,1.12578,0.77527,0.95375,0.93572,0.93785,0.96999,0.62053,1.23266,0.66182,0.99844,0.0007426,0.0007426,0.0007426
15,187.483,1.15301,0.77726,0.95413,0.86368,0.81051,0.846,0.28661,2.2971,0.98,1.34648,0.0007228,0.0007228,0.0007228
16,199.919,1.09792,0.73946,0.94084,0.89248,0.84581,0.8736,0.29341,2.25231,0.93707,1.34345,0.000703,0.000703,0.000703
17,212.584,1.07984,0.72661,0.93681,0.95364,0.92895,0.96536,0.5807,1.32874,0.64281,1.01685,0.0006832,0.0006832,0.0006832
18,224.892,1.08137,0.71997,0.93759,0.9655,0.92226,0.9754,0.65959,1.12275,0.61687,0.96839,0.0006634,0.0006634,0.0006634
19,237.238,1.07892,0.70101,0.93294,0.94897,0.92669,0.96928,0.55,1.47158,0.67779,1.05507,0.0006436,0.0006436,0.0006436
20,249.935,1.0777,0.6994,0.93521,0.95712,0.93473,0.97866,0.74725,0.86512,0.5509,0.9084,0.0006238,0.0006238,0.0006238
21,262.798,1.04975,0.67577,0.93157,0.95879,0.93482,0.9692,0.62049,1.20233,0.59941,0.98613,0.000604,0.000604,0.000604
22,276.271,1.05051,0.6603,0.93072,0.95662,0.93316,0.97336,0.73361,0.88646,0.54518,0.91704,0.0005842,0.0005842,0.0005842
23,288.537,1.03178,0.65276,0.92753,0.96829,0.93775,0.97824,0.6413,1.18672,0.58907,0.9847,0.0005644,0.0005644,0.0005644
24,300.986,1.09259,0.67829,0.93818,0.96684,0.94254,0.97649,0.70812,0.99255,0.55231,0.93602,0.0005446,0.0005446,0.0005446
25,313.331,1.02193,0.64295,0.92305,0.97083,0.94053,0.98145,0.74583,0.87351,0.5063,0.91226,0.0005248,0.0005248,0.0005248
